orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.2091	C6_03760C_A	SHM2	Cytoplasmic serine hydroxymethyltransferase; complements glycine auxotrophy of S. cerevisiae shm1 shm2 gly1-1 mutant; antigenic; farnesol-upregulated in biofilm; stationary-phase enriched protein; rat catheter and Spider biofilm repressed	glycine biosynthetic process from serine||glycine metabolic process||one-carbon metabolic process||tetrahydrofolate interconversion	cytoplasm	glycine hydroxymethyltransferase activity||pyridoxal phosphate binding
orf6.2092	C6_03750C_A	SBA1	Similar to co-chaperones; induced in high iron; farnesol-, heavy metal (cadmium) stress-induced; protein level decreases in stationary phase cultures; Hap43-repressed	negative regulation of DNA binding||positive regulation of telomere maintenance via telomerase||protein folding||regulation of telomerase activity	cytoplasm||nucleus	chaperone binding
orf6.2093	C6_03740W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_64250, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00218, <i>Debaryomyces hansenii CBS767</i> : DEHA2E19888g and <i>Spathaspora passalidarum NRRL Y-27907</i> : spas_CGOB_00025	biological_process	cellular_component	molecular_function
orf6.2094	C1_05520W_A		Protein of unknown function; induced by Sfu1; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.2095	C1_05530C_A	SSH1	Protein with a role in protein translocation across membranes	SRP-dependent cotranslational protein targeting to membrane	Ssh1 translocon complex||plasma membrane	signal sequence binding
orf6.2096	C1_05540C_A		Protein similar to GTPase regulators; induced in low iron; transcript activated by Mnl1 under weak acid stress; Hap43-, Sfu1- and Sef1-regulated; flow model biofilm induced, Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.2098	C6_01760W_A	SEC12	Putative guanyl-nucleotide exchange factor; induced in high iron; Hap43-repressed	positive regulation of GTPase activity||regulation of COPII vesicle coating	integral component of endoplasmic reticulum membrane	GTPase activator activity||guanyl-nucleotide exchange factor activity
orf6.21	CR_04850C_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_01818	biological_process	cellular_component	molecular_function
orf6.210	C1_12430W_A		Ortholog(s) have phosphatidylinositol-4,5-bisphosphate binding, signaling adaptor activity	TORC2 signaling||establishment or maintenance of actin cytoskeleton polarity||fungal-type cell wall organization||regulation of cell growth	TORC2 complex||cytoplasm||plasma membrane	phosphatidylinositol-4,5-bisphosphate binding||signaling adaptor activity
orf6.2100	C6_01750C_A		Ortholog of <i>S. cerevisiae</i> : BUD17, <i>C. glabrata CBS138</i> : CAGL0M10725g, <i>C. dubliniensis CD36</i> : Cd36_61840, <i>C. parapsilosis CDC317</i> : CPAR2_602630 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115703	biological_process	cellular_component	molecular_function
orf6.2101	C6_01740C_A	ATG15	Putative lipase; fungal-specific (no human or murine homolog); Hap43p-repressed gene	macroautophagy||multivesicular body membrane disassembly||neutral lipid catabolic process||phosphatidylserine catabolic process||piecemeal microautophagy of the nucleus||vacuolar protein processing	integral component of membrane||vacuolar lumen	phospholipase activity||triglyceride lipase activity
orf6.2102	C6_01730W_A	FGR37	Protein lacking an ortholog in S. cerevisiae; transposon mutation affects filamentous growth	cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation	cellular_component	molecular_function
orf6.2103	C2_01680C_A		Ortholog of the mitochondria localized S. cerevisiae Pib2 protein of unknown function; has a FYVE zinc finger domain; Spider biofilm induced	biological_process	cellular_component	metal ion binding
orf6.2104	C2_01690W_A		Putative succinate dehydrogenase; enzyme of citric acid cycle; repressed by nitric oxide; Efg1, Hap43 repressed	tricarboxylic acid cycle	mitochondrial membrane||plasma membrane||succinate dehydrogenase complex	succinate dehydrogenase activity
orf6.2105	C2_01700C_A	HAP42	Predicted transcription factor; possibly an essential gene, disruptants not obtained by UAU1 method	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	nucleus	DNA binding
orf6.2106	C2_01710W_A	HSK3	Subunit of the Dam1 (DASH) complex, which acts in chromosome segregation by coupling kinetochores to spindle microtubules; expression regulated during planktonic growth	mitotic spindle organization	DASH complex	microtubule binding
orf6.2107	C2_01720C_A		Ortholog(s) have copper ion binding activity, role in mitochondrial respiratory chain complex IV assembly and extrinsic component of mitochondrial inner membrane, mitochondrial intermembrane space localization	mitochondrial respiratory chain complex IV assembly	extrinsic component of mitochondrial inner membrane||mitochondrial intermembrane space	copper ion binding
orf6.2108	C2_01730W_A		Ortholog of S, cerevisiae Spc24; a component of the conserved kinetochore-associated Ndc80 complex involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering; Hap43-induced gene	chromosome segregation	Ndc80 complex||condensed nuclear chromosome kinetochore	molecular_function
orf6.2109	C2_01740C_A		Mitochondrial ribosomal protein of the large subunit; rat catheter biofilm induced	biological_process	mitochondrial large ribosomal subunit	structural constituent of ribosome
orf6.2110	C3_06190C_A	ALS6	ALS family protein; expression in S. cerevisiae confers adhesion to gelatin; macrophage-induced gene; N-terminal adhesion domain; ALS family includes cell-surface glycoproteins, some with adhesin function	cell adhesion||cell adhesion involved in multi-species biofilm formation||cell adhesion involved in single-species biofilm formation	cell surface||fungal-type cell wall	molecular_function
orf6.2113	C2_01030W_A		Ortholog(s) have structural constituent of ribosome activity, role in mitochondrial translation and mitochondrial large ribosomal subunit localization	mitochondrial translation	mitochondrial large ribosomal subunit	rRNA binding||structural constituent of ribosome
orf6.2114	C2_01060C_A		Protein with a predicted DnaJ chaperone domain and a CSL-type zinc finger; Spider biofilm induced	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	cellular_component	ferrous iron binding
orf6.2115	C2_01070W_A		Ortholog(s) have RNA polymerase I activity, role in nucleolar large rRNA transcription by RNA polymerase I, transcription elongation from RNA polymerase I promoter and RNA polymerase I complex localization	nucleolar large rRNA transcription by RNA polymerase I||transcription elongation from RNA polymerase I promoter	RNA polymerase I complex	DNA binding||RNA polymerase I activity
orf6.2116	C2_01090C_A	ERG28	Ortholog(s) have protein binding, bridging activity, role in demethylation, ergosterol biosynthetic process and endoplasmic reticulum membrane localization	demethylation||ergosterol biosynthetic process	endoplasmic reticulum membrane||integral component of membrane	protein binding, bridging
orf6.2117	orf19.2015		Predicted ORF from Assembly 19; merged with orf19.2014 in Assembly 20			
orf6.2118	C2_01120W_A	KAR2	Similar to Hsp70 family chaperones; role in translocation of proteins into the ER; induced in high iron; protein present in exponential and stationary growth phase yeast cultures; flow model and Spider biofilm repressed	IRE1-mediated unfolded protein response||SRP-dependent cotranslational protein targeting to membrane, translocation||fungal-type cell wall beta-glucan biosynthetic process||karyogamy involved in conjugation with cellular fusion||posttranslational protein targeting to membrane, translocation||protein folding||ubiquitin-dependent ERAD pathway	cell surface||cortical endoplasmic reticulum lumen||extracellular region||luminal surveillance complex||nuclear membrane||perinuclear endoplasmic reticulum lumen	ATPase activity||unfolded protein binding
orf6.2119	C1_02820W_A	LYS2	Heterodimeric alpha-aminoadipate reductase large subunit; lysine biosynthesis; predicted binding sites for AMP and alpha-aminoadipate; inhibited by lys or thialysine; regulated by Gcn2 and Gcn4; Spider biofilm induced, flow model repressed	lysine biosynthetic process||lysine biosynthetic process via aminoadipic acid||oxidation-reduction process	membrane	L-aminoadipate-semialdehyde dehydrogenase activity||phosphopantetheine binding
orf6.212	C6_03320W_A		Stationary phase enriched protein; Gcn4-regulated; induced by amino acid starvation (3-AT), benomyl or in azole-resistant strain that overexpresses MDR1; flow model biofilm induced; rat catheter biofilm repressed; overlaps orf19.5621	biosynthetic process||endoplasmic reticulum unfolded protein response	cellular_component	catalytic activity
orf6.2120	C1_02810W_A	RAD16	Ortholog of S. cerevisiae Rad16; a protein that recognizes and binds damaged DNA; flucytosine induced; rat catheter and Spider biofilm induced	cellular protein localization||nucleotide-excision repair, DNA damage recognition||pyrimidine dimer repair by nucleotide-excision repair||ubiquitin-dependent protein catabolic process	Cul3-RING ubiquitin ligase complex||nucleotide-excision repair factor 4 complex	ATP binding||DNA-dependent ATPase activity||damaged DNA binding||helicase activity||metal ion binding||ubiquitin-protein transferase activity||zinc ion binding
orf6.2121	C1_02800W_A		Protein of unknown function; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.2122	C1_04080W_A	MAD2	Protein required for the spindle assembly checkpoint of the cell cycle; necessary for survival in host cell macrophages and for virulence in a mouse model of systemic candidiasis	cellular response to drug||cellular response to oxidative stress||chromosome decondensation||growth of symbiont in host cell||meiosis I spindle assembly checkpoint||mitotic DNA integrity checkpoint||mitotic cell cycle checkpoint inhibiting CAR assembly||mitotic sister chromatid segregation||mitotic spindle assembly checkpoint||pathogenesis||positive regulation of protein autoubiquitination||signal transduction involved in mitotic spindle assembly checkpoint	condensed nuclear chromosome kinetochore||kinetochore||mitotic checkpoint complex||mitotic spindle microtubule||mitotic spindle pole body||nuclear chromatin||nuclear periphery	anaphase-promoting complex binding
orf6.2123	C1_04090C_A		Ortholog(s) have cyclin-dependent protein serine/threonine kinase activator activity	phosphorylation of RNA polymerase II C-terminal domain serine 2 residues||positive regulation of DNA-templated transcription, elongation||positive regulation of induction of conjugation with cellular fusion by regulation of transcription from RNA polymerase II promoter||positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues||positive regulation of transcription by RNA polymerase I||positive regulation of translational fidelity	CTDK-1 complex||cytosol||nucleolus	cyclin-dependent protein serine/threonine kinase activator activity
orf6.2124	C1_04100C_A	POR1	Mitochondrial outer membrane porin; in detergent-resistant membrane fraction (possible lipid raft component); antigenic in human, mouse; Hap43p-induced; flucytosine-, macrophage-, farnesol- induced; fluconazole, caspofungin repressed	DNA transport||anion transmembrane transport||apoptotic process||cell redox homeostasis||ion transport||mitochondrion organization||positive regulation of protein import into nucleus||positive regulation of protein serine/threonine kinase activity||regulation of anion transport||transmembrane transport	extracellular region||integral component of mitochondrial outer membrane||membrane||plasma membrane	ubiquinone binding||voltage-gated anion channel activity
orf6.2125	C1_04110W_A		Ortholog(s) have lysophosphatidic acid acyltransferase activity, role in cellular triglyceride homeostasis, lipid droplet organization and endoplasmic reticulum, lipid droplet localization	cellular triglyceride homeostasis||lipid droplet organization	endoplasmic reticulum||lipid droplet	lysophosphatidic acid acyltransferase activity
